cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,10kIter,20kIter,30kIter,40kIter,50kIter
-,-,-,X,O,-,-,-,-,-,X,O,-,-,-,-,-,O,O,-,-,-,-,-,O,X,-,-,O,O,-,X,O,X,O,X,X,X,O,X,X,O,1,1,1,1,1
-,-,-,-,-,-,-,X,-,O,X,-,-,-,O,-,X,O,-,-,-,X,-,X,O,-,-,O,O,-,O,X,O,-,X,X,O,X,O,O,-,X,7,7,7,7,7
-,-,-,O,O,-,-,X,-,-,X,O,-,-,X,-,-,O,X,-,-,O,-,-,O,X,-,-,X,O,-,X,O,-,-,X,O,O,O,X,X,-,1,1,1,1,1
-,-,-,X,O,-,-,-,-,-,X,O,-,-,-,-,-,O,O,-,-,X,-,-,O,X,-,-,O,O,-,X,O,X,O,X,X,X,O,X,X,O,1,1,1,1,1
-,-,-,-,-,-,-,X,-,O,X,-,-,-,O,-,X,O,-,-,X,X,-,X,O,-,-,O,O,-,O,X,O,-,X,X,O,X,O,O,-,X,5,5,4,5,5
-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,O,-,O,-,O,O,-,O,-,O,-,X,X,O,X,-,X,-,O,X,X,X,-,O,O,X,O,1,1,1,7,7
-,-,-,X,O,-,-,-,-,-,X,O,-,-,O,-,-,O,O,-,-,X,-,-,O,X,-,-,O,O,-,X,O,X,O,X,X,X,O,X,X,O,2,2,2,2,2
-,-,-,-,-,-,-,-,X,-,X,-,-,X,-,O,-,O,-,O,O,-,O,-,O,-,X,X,O,X,-,X,-,O,X,X,X,-,O,O,X,O,5,5,5,5,5
-,-,-,-,-,-,-,X,-,O,X,-,-,-,O,-,X,O,-,-,X,X,-,X,O,O,-,O,O,-,O,X,O,-,X,X,O,X,O,O,-,X,5,5,5,5,5
X,-,-,O,O,-,-,X,-,-,X,O,-,-,X,-,-,O,X,-,-,O,-,-,O,X,-,-,X,O,-,X,O,-,-,X,O,O,O,X,X,-,6,6,6,6,6
-,-,-,-,-,-,-,-,X,-,X,-,-,X,-,O,-,O,-,O,O,-,O,-,O,-,X,X,O,X,-,X,O,O,X,X,X,-,O,O,X,O,1,3,3,3,3
-,-,-,X,O,-,-,-,-,-,X,O,-,-,O,-,-,O,O,-,-,X,X,-,O,X,-,-,O,O,-,X,O,X,O,X,X,X,O,X,X,O,2,2,2,2,2
