result
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
MCTS
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
MCTS
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
DT
DT
DT
DT
DT
MCTS
MCTS
MCTS
MCTS
MCTS
